Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Dsp Floater Fund Reg(G),Shantanu Godambe,Dt Fl,717.9,0.52,Open Ended,19-03-2021,Crisil Short Duration Debt Index,0.47,1.43,4.41,9.09,8.42,6.6,,,,,, ,3.63,5.48,10.92,0.41,0.88,4.58,7.84,0.06,Large,17.48,Low,7.5,TRUE,8.2,0,0,0,1,1,2.1,6.6
Dsp Fmp 264 60M & 17D Reg(G),Shantanu Godambe,Dt Fmp,49.1,,Closed Ended,13-09-2021,Crisil Medium To Long Term Debt Index,0.55,1.51,3.84,8.06,7.49,5.75,,,,,, ,3.3,5.44,12.36,0.2,0.71,4.09,6.9,,Small,,Low,8.1,TRUE,8.9,0,0,0,1,0,1.97,5.75
Dsp Fmp 267 1246D Reg(G),Sandeep Yadav,Dt Fmp,660.6,,Closed Ended,14-11-2022,Crisil Medium Duration Debt Index,0.65,1.63,3.9,7.76,7.34,,,,,,, ,2.92,5.3,11.71,0.23,0.68,2.92,7.76,,Large,,Low,,TRUE,8.51,0,0,0,1,0,2.06,
Dsp Fmp 268 1281D Reg(G),Sandeep Yadav,Dt Fmp,122,,Closed Ended,24-11-2022,Crisil Medium Duration Debt Index,0.55,1.58,3.81,7.85,7.47,,,,,,, ,3.28,5.89,14.16,0.14,0.63,2.9,7.85,,Mid,,Low,,TRUE,10.02,0,0,0,1,0,1.98,
Dsp Fmp 270 1144D Reg(G),Sandeep Yadav,Dt Fmp,179.4,,Closed Ended,24-02-2023,Crisil Medium Duration Debt Index,0.65,1.63,3.9,7.76,,,,,,,, ,2.92,5.31,11.7,0.23,0.68,2.64,7.76,,Mid,,Low,,TRUE,8.5,0,0,0,1,0,2.06,
Dsp Focus Fund Reg(G),Vinit Sambre,Eq Mlc,2523.1,2.03,Open Ended,10-06-2010,Nifty 500 Tri,-1.2,-7.15,1.22,18.63,27.18,15.76,15.44,12.21,50.43,22.67,19.84,Financials,10.08,0.96,1.44,0.92,15.31,15.36,15.51,0.11,Mega,9.18,High,1.03,TRUE,1.2,0,1,1,0,1,-2.38,14.47
Dsp Gilt Fund Reg(G),Shantanu Godambe,Dt Gilt,1834.5,1.18,Open Ended,30-09-1999,Crisil Dynamic Gilt Index,0.32,-0.13,3.76,10.16,8.5,6.51,7,7.78,,,, ,1.08,1.96,3.43,1.56,2.91,26.06,7.86,0.12,Large,8.61,Low,2.24,FALSE,2.7,0,0,0,0,1,1.32,7.1
Dsp Global Allocation Fof Reg(G),Jay Kothari,Fof Ovr,54.3,2.08,Open Ended,21-08-2014,Msci Acwi Net Tri,-0.79,0.3,4.42,11.56,12.14,5.53,8.86,7.11,,,, ,6.3,0.93,1.49,0.57,8.65,11.16,8.26,0.18,Small,5.56,Medium,0.64,TRUE,1.21,0,0,0,0,1,1.31,7.17
Dsp Global Clean Energy Fof Reg(G),Jay Kothari,Fof Ovr,94.7,2.14,Open Ended,14-08-2009,Msci Acwi Imi Clean Energy Infrastructure Index,-4.36,-10.03,-3.53,-6.82,2.55,-1.32,4.46,2.18,,,, ,-14.87,-0.6,-0.93,1.42,17.02,16.18,-0.38,-0.31,Small,-3.19,High,-0.08,FALSE,-0.76,1,0,0,0,0,-5.97,1.77
Dsp Global Innovation Fof Reg(G),Jay Kothari,Fof Ovr,915.8,2.04,Open Ended,14-02-2022,Msci Acwi Net Tri,-0.19,1.13,4.2,20.56,,,,,,,, ,16.25,1.02,1.58,0.76,17.92,3.67,20.56,0.1,Large,10.08,High,,TRUE,1.3,0,1,1,1,1,1.71,
Dsp Gold Etf,Ravi Gehani,Gold Etf,597.9,0.48,Open Ended,28-04-2023,Gold India,-0.16,1.3,6.26,19.75,,,,,,,, ,14.77,1.21,1.83,0.1,12.47,2.47,19.75,0.02,Large,41.15,Medium,,TRUE,1.52,0,1,1,1,1,2.47,
Dsp Gold Etf Fof Reg(G),Anil Ghelani,Gold Mf,45.9,1,Open Ended,17-11-2023,Gold London Am (Inr),0,1.16,5.85,18.77,,,,,,,, ,14.41,1.1,1.77,-0.01,13.14,1.92,18.77,0.05,Small,18.77,Medium,,TRUE,1.44,0,1,1,1,1,2.34,
Dsp Healthcare Fund Reg(G),Chirag Dagli,Eq Phrm,3248.8,1.92,Open Ended,30-11-2018,Bse Health Care Tri,0.34,1.97,24.7,40.69,37.69,20.52,30.7,,18.14,14.07,47.42,Healthcare,31.02,2.76,5.15,0.37,11.88,6.88,30.64,0.05,Mega,21.19,Medium,1.73,TRUE,3.96,0,1,1,0,1,9,25.61
Dsp India T.I.G.E.R Fund Reg(G),Charanjit Singh,Eq Infra,5515.3,1.86,Open Ended,11-06-2004,Bse India Infrastructure Index Tri,-1.72,-7.3,-2.71,32.4,40.63,31.46,28.32,16.93,34.92,10.55,48.11,Capital Goods,22.08,1.38,1.91,1.02,19.74,21.36,27.28,0.06,Mega,17.42,High,1.59,FALSE,1.64,0,1,1,0,1,-3.91,25.57
Dsp Liquidity Fund Reg(G),Karan Mundhra,Dt Liq,22864.4,0.19,Open Ended,22-11-2005,Crisil Liquid Debt Index,0.59,1.75,3.57,7.37,7.17,6.39,5.3,6.28,,,, ,0.76,10.33,5.56,,0.07,19.91,6.34,0.03,Mega,38.79,Low,91.29,FALSE,7.94,0,0,0,0,1,1.97,5.99
Dsp Low Duration Fund Reg(G),Karan Mundhra,Dt Lowd,5505.5,0.61,Open Ended,10-03-2015,Nifty Low Duration Debt Index,0.59,1.71,3.62,7.4,7.15,6.16,5.71,,,,, ,3.05,9.81,19.81,0.08,0.33,10.61,6.42,0.08,Mega,12.13,Low,18.67,TRUE,14.81,0,0,0,0,1,1.97,5.94
Dsp Midcap Fund Reg(G),Vinit Sambre,Eq Mid,19215.8,1.68,Open Ended,14-11-2006,Nifty Midcap 150 Tri,0.84,-4.34,2.69,22.66,30.8,17.7,20.75,15.37,9.74,66.17,19.01,Financials,13.81,1.15,1.72,0.84,15.65,18.93,19.12,0.07,Mega,13.49,High,1.13,TRUE,1.44,0,1,1,0,1,-0.27,17.94
Dsp Multi Asset Allocation Fund Reg(G),Aparna Karnik,Hy Multi,2355.1,1.65,Open Ended,27-09-2023,Nifty 500 Tri,-0.9,-3.09,4.1,16.45,,,,,31.65,3.94,5.9,Financials,10.91,1.82,2.97,0.81,7.25,2.05,16.45,0.1,Mega,9.97,Medium,,TRUE,2.4,0,1,1,1,1,0.04,
Dsp Multicap Fund Reg(G),Chirag Dagli,Eq Mlc,1869.5,2.03,Open Ended,30-01-2024,Nifty500 Multicap 50 - 25 - 25 Tri,-0.47,-5.67,2.12,,,,,,31.89,19.29,40,Financials,,,,,,1.71,,,Large,,,,FALSE,,0,1,0,1,0,-1.34,
Dsp Natural Res & New Energy Fund Reg(G),Rohit Singhania,Eq Power,1256.5,2.11,Open Ended,25-04-2008,Bse Oil & Gas Index,-4.43,-13.39,-7.53,13.9,22.17,17.93,21.16,16.61,39.49,33.97,9.37,Energy,5.62,0.56,0.83,1.03,20.77,17.49,17.4,0.15,Large,6.59,High,0.86,FALSE,0.7,0,1,1,0,1,-8.45,18.57
Dsp Nifty 1D Rate Liquid Etf,Anil Ghelani,Dt Etf,706.6,0.3,Open Ended,14-03-2018,Nifty 1D Rate Index,0.53,1.54,3.11,6.35,6.33,5.62,4.45,,,,, ,0.91,7.29,9.05,,0.13,7.6,5.47,0.05,Large,21.17,Low,43.23,FALSE,8.17,0,0,0,0,1,1.73,5.04
Dsp Nifty 50 Equal Weight Etf,Anil Ghelani,Eq Etf,210.5,0.3,Open Ended,08-11-2021,Nifty50 Equal Weight,-1.54,-11.57,-2.77,10.69,21.39,16.77,,,96.26,3.66,,Financials,2.65,0.51,0.79,0.96,14.23,3.94,13.73,0.03,Mid,35.63,Medium,1.18,TRUE,0.65,0,1,1,1,1,-5.29,16.77
Dsp Nifty 50 Equal Weight Index Fund Reg(G),Anil Ghelani,Eq Indx,1895.2,0.87,Open Ended,23-10-2017,Nifty50 Equal Weight Tri,-1.6,-11.72,-3.12,9.89,20.55,16,19.08,,96.28,3.66,,Financials,1.79,0.46,0.72,0.96,14.33,7.99,14.99,0.09,Large,11.37,Medium,1.12,TRUE,0.59,0,1,1,0,1,-5.48,17.54
Dsp Nifty 50 Etf,Anil Ghelani,Eq Etf,326.3,0.07,Open Ended,23-12-2021,Nifty 50 Tri,-1.61,-7.82,-1.25,10.38,16.48,12.91,,,98.71,1.25,,Financials,2.07,0.49,0.75,0.99,13.85,3.82,11.64,0.01,Mid,148.29,Medium,0.93,TRUE,0.62,0,1,0,1,1,-3.56,12.91
Dsp Nifty 50 Index Fund Reg(G),Anil Ghelani,Eq Indx,655.8,0.31,Open Ended,21-02-2019,Nifty 50 Tri,-1.64,-7.89,-1.44,9.93,16.02,12.47,15.16,,98.71,1.25,,Financials,1.51,0.47,0.71,0.99,13.95,6.65,12.52,0.03,Large,32.03,Medium,0.89,TRUE,0.59,0,1,0,0,1,-3.66,13.82
Dsp Nifty Bank Etf,Anil Ghelani,Eq Etf,505.3,0.16,Open Ended,03-01-2023,Nifty Bank Tri,-1.93,-3.56,-2.72,6.58,,,,,86.42,13.58,,Financials,-1.51,0.21,0.31,1.08,17.36,2.79,6.58,0.02,Large,41.12,High,,FALSE,0.26,0,1,0,1,1,-2.74,
Dsp Nifty Bank Index Fund Reg(G),Anil Ghelani,Eq Indx,45.3,0.9,Open Ended,31-05-2024,Nifty Bank Tri,-2.03,-3.77,-3.15,,,,,,86.39,13.57,,Financials,,,,,,1.38,,,Small,,,,FALSE,,0,0,0,1,0,-2.98,
Dsp Nifty Healthcare Etf,Anil Ghelani,Eq Phrm,12.1,0.21,Open Ended,01-02-2024,Nifty Healthcare Index Tri,6.15,1.7,19.37,,,,,,54.96,39.59,5.41,Healthcare,,,,,,1.71,,,Small,,,,FALSE,,0,1,0,1,0,9.07,
Dsp Nifty It Etf,Anil Ghelani,Eq Etf,42.7,0.2,Open Ended,07-07-2023,Nifty It Tri,0.5,2.72,18.36,23.4,,,,,83.84,16.15,,Technology,15.9,1,1.83,0.74,19.38,2.28,23.4,0.01,Small,117,High,,TRUE,1.42,0,1,1,1,1,7.19,
Dsp Nifty Midcap 150 Quality 50 Etf,Anil Ghelani,Eq Etf,97.7,0.3,Open Ended,23-12-2021,Nifty Midcap150 Quality 50 Tri,-0.19,-6.14,-0.65,19.81,24.44,12.13,,,6.94,75.05,17.97,Technology,11.72,1.05,1.64,0.8,14.78,3.82,15.97,0.02,Small,66.03,Medium,0.82,TRUE,1.34,0,1,1,1,1,-2.33,12.13
Dsp Nifty Midcap 150 Quality 50 Index Fund Reg(G),Anil Ghelani,Eq Indx,363.9,0.87,Open Ended,04-08-2022,Nifty Midcap150 Quality 50 Tri,-0.26,-6.29,-0.99,19,23.65,,,,6.94,75.03,17.97,Technology,11.04,1.01,1.58,0.8,14.9,3.2,19,0.05,Mid,21.84,Medium,,TRUE,1.3,0,1,1,1,1,-2.51,
Dsp Nifty Next 50 Index Fund Reg(G),Anil Ghelani,Eq Indx,902.9,0.53,Open Ended,21-02-2019,Nifty Next 50 Tri,-3.64,-11.81,-5.6,27.41,27.78,17.93,19.26,,88.16,11.75,,Financials,16.98,1.13,1.64,1.14,20.14,6.65,21.53,0.02,Large,51.72,High,0.89,FALSE,1.38,0,1,1,0,1,-7.02,18.6
Dsp Nifty Private Bank Etf,Anil Ghelani,Eq Etf,236.3,0.15,Open Ended,27-07-2023,Nifty Private Bank Tri,-1.74,-5.98,-4.82,0.74,,,,,83.3,13.6,3.08,Financials,-7.01,-0.12,-0.18,1.04,17.05,2.22,0.74,0.2,Mid,4.93,High,,FALSE,-0.15,0,1,0,1,0,-4.18,
Dsp Nifty Psu Bank Etf,Anil Ghelani,Eq Etf,53,0.45,Open Ended,27-07-2023,Nifty Psu Bank Tri,-3.96,-3.3,-10.62,14.1,,,,,62.21,37.78,,Financials,7.36,0.49,0.71,1.49,29.8,2.22,14.1,0.03,Small,31.33,High,,FALSE,0.6,0,1,1,1,1,-5.96,
Dsp Nifty Sdl Plus G Sec Jun 2028 30 - 70 Index Fund Reg(G),Shantanu Godambe,Dt M&Ld,2222.4,0.32,Open Ended,21-03-2022,Nifty Sdl Plus G Sec Jun 2028 70 - 30 Index,0.49,1.39,4.05,8.04,7.8,,,,,,, ,2.65,4.48,9.48,0.4,0.86,3.58,8.04,0.04,Mega,25.12,Low,,TRUE,6.98,0,0,0,1,1,1.98,
Dsp Nifty Sdl Plus G Sec Sep 2027 50 - 50 Index Fund Reg(G),Shantanu Godambe,Dt M&Ld,92.4,0.41,Open Ended,14-02-2023,Nifty Sdl Plus G Sec Sep 2027 50 - 50 Index,0.54,1.43,3.9,8.06,,,,,,,, ,2.87,4.98,10.92,0.33,0.77,2.67,8.06,0.05,Small,19.66,Low,,TRUE,7.95,0,0,0,1,1,1.96,
Dsp Nifty Smallcap250 Quality 50 Index Fund Reg(G),Anil Ghelani,Eq Indx,178.1,1,Open Ended,26-12-2023,Nifty Smallcap250 Quality 50 Tri,-0.55,-5.04,3.72,25.66,,,,,,13.12,86.71,Technology,17.21,1.07,1.6,0.96,20.64,1.81,25.66,0.04,Mid,25.66,High,,TRUE,1.34,0,1,1,1,1,-0.62,
Dsp Nifty Top 10 Equal Weight Etf,Anil Ghelani,Eq Etf,244,0.15,Open Ended,05-09-2024,Nifty Top 10 Equal Weight Tri,-1.56,-4.6,,,,,,,99.99,,,Financials,,,,,,1.11,,,Mid,,,,FALSE,,0,0,0,1,0,-3.08,
Dsp Nifty Top 10 Equal Weight Index Fund Reg(G),Anil Ghelani,Eq Indx,1037.2,1,Open Ended,05-09-2024,Nifty Top 10 Equal Weight Tri,-1.65,-4.86,,,,,,,100.05,,,Financials,,,,,,1.11,,,Large,,,,FALSE,,0,0,0,1,0,-3.26,
Dsp Overnight Fund Reg(G),Karan Mundhra,Dt On,2333.8,0.14,Open Ended,09-01-2019,Crisil Liquid Overnight Index,0.55,1.61,3.24,6.64,6.63,5.97,4.88,,,,, ,1.18,8.59,11.25,,0.14,6.77,5.83,0.02,Mega,47.43,Low,42.64,FALSE,9.92,0,0,0,0,1,1.8,5.42
Dsp Quant Fund Reg(G),Aparna Karnik,Eq Them,1066.1,1.27,Open Ended,10-06-2019,Bse 200 Tri,-1.51,-8.99,0.61,10.44,16.01,7.58,14.58,,77.84,22.29,,Financials,2.75,0.56,0.92,0.78,12.01,6.36,10.87,0.12,Large,8.22,Medium,0.63,TRUE,0.74,0,1,0,0,1,-3.3,11.08
Dsp Regular Savings Fund Reg(G),Abhishek Singh,Hy Dt(Co),180.3,1.11,Open Ended,11-06-2004,Crisil Hybrid 85+15 Conservative Index,0.18,-0.27,4.15,10.95,11.67,8.92,8.71,7.04,17.47,0.96,3.5,Financials,4.81,2.04,3.24,0.68,3.36,21.36,8.9,0.1,Mid,9.86,Low,2.65,TRUE,2.64,0,0,0,0,1,1.35,8.22
Dsp Savings Fund Reg(G),Karan Mundhra,Dt Mm,4210.9,0.47,Open Ended,30-09-1999,Crisil Money Market Index,0.61,1.71,3.54,7.37,7.26,6.16,5.55,6.27,,,, ,3.15,10.15,20.82,0.04,0.32,26.06,6.34,0.06,Mega,15.68,Low,19.25,TRUE,15.48,0,0,0,0,1,1.95,5.99
Dsp Short Term Fund Reg(G),Karan Mundhra,Dt Sd,2848.1,0.96,Open Ended,09-09-2002,Crisil Short Duration Debt Index,0.52,1.51,3.99,7.63,7.12,5.73,5.85,6.69,,,, ,2.52,5.46,11.29,0.32,0.64,23.12,6.48,0.13,Mega,7.95,Low,8.95,TRUE,8.38,0,0,0,0,1,2.01,6.09
Dsp Silver Etf,Ravi Gehani,Gold Etf,284.2,0.5,Open Ended,19-08-2022,Silver,-3.79,-4.53,-2.21,15.82,10.12,,,,,,, ,11.84,0.61,1.04,0.71,22.82,3.16,15.82,0.03,Mid,31.64,High,,TRUE,0.82,0,1,1,1,1,-3.51,
Dsp Small Cap Fund Reg(G),Vinit Sambre,Eq Sml,16307.3,1.71,Open Ended,14-06-2007,Bse 250 Small Cap Tri,2.35,-0.9,8.12,25.62,33.43,21.6,30.03,18.52,,3.13,90.72,Fmcg,17.67,1.29,1.93,0.71,16.51,18.35,23.94,0.07,Mega,14.98,High,1.31,TRUE,1.61,0,1,1,0,1,3.19,23.38
Dsp Strategic Bond Fund Reg(G),Sandeep Yadav,Dt Dyn,1927.3,1.19,Open Ended,09-05-2007,Crisil Dynamic Bond Index,0.25,-0.05,3.79,9.99,8.83,6.36,6.62,7.18,,,, ,1.26,2.06,3.48,1.44,2.7,18.45,7.54,0.12,Large,8.39,Low,2.36,FALSE,2.77,0,0,0,0,1,1.33,6.72
Dsp Top 100 Equity Fund Reg(G),Abhishek Singh,Eq Lc,4530,1.94,Open Ended,10-03-2003,Bse 100 Tri,-1.22,-6.05,2.84,20.73,24.57,16.45,15,11.15,80.59,2.91,6.01,Financials,11.77,1.27,1.97,0.85,12.63,22.62,15.83,0.09,Mega,10.69,Medium,1.3,TRUE,1.62,0,1,1,0,1,-1.48,14.2
Dsp Ultra Short Fund Reg(G),Shalini Vasanta,Dt Usd,3062,1.01,Open Ended,31-07-2006,Crisil Ultra Short Term Debt Index,0.57,1.64,3.36,6.91,6.8,5.9,5.04,5.89,,,, ,2.72,9.94,20.05,0.03,0.28,19.22,5.94,0.15,Mega,6.84,Low,21.07,TRUE,15,0,0,0,0,1,1.86,5.61
Dsp Us Flexible Equity Fof Reg(G),Jay Kothari,Fof Ovr,853.1,2.34,Open Ended,03-08-2012,Russell 1000 Index,1.61,3.72,5.42,17.75,19.81,10.55,15.51,12.92,,,, ,12.12,1.07,1.63,0.92,13.87,13.21,14.18,0.13,Large,7.59,Medium,0.76,TRUE,1.35,0,1,1,0,1,3.58,12.99
Dsp Us Treasury Fof Reg(G),Jay Kothari,Fof Ovr,60.3,0.26,Open Ended,18-03-2024,S&P Us Treasury Bond Index,-0.1,-1.38,3.72,,,,,,,,, ,,,,,,1.58,,,Small,,,,FALSE,,0,0,0,1,0,0.75,
Dsp Value Fund Reg(G),Aparna Karnik,Eq Val,910.4,1.7,Open Ended,10-12-2020,Nifty 500 Tri,-0.74,-4.78,5.4,20.53,7.47,15.23,,,43.68,6.75,15.25,Healthcare,16.83,1.76,2.94,0.56,10.31,4.85,17.88,0.08,Large,12.08,Medium,1.48,TRUE,2.35,0,1,1,1,1,-0.04,15.23
Dsp World Agriculture Fund Reg(G),Jay Kothari,Fof Ovr,10.1,2.24,Open Ended,19-10-2011,Msci Acwi Net Tri,-0.53,5.69,2.83,7.44,2.26,-5.96,2.92,,,,, ,-1.18,0.37,0.65,1.47,11.79,14,1.47,0.3,Small,3.32,Medium,-0.51,FALSE,0.51,0,0,0,0,0,2.66,-1.52
Dsp World Gold Fof Reg(G),Jay Kothari,Fof Ovr,1045,2.35,Open Ended,14-09-2007,Ftse Gold Mines,-7.7,-10.9,5.36,15.94,11.33,4.62,6.49,7.04,,,, ,9.98,0.57,0.99,1.96,27.32,18.1,8.52,0.15,Large,6.78,High,0.17,FALSE,0.78,0,1,0,0,1,-4.41,6.05
Dsp World Mining Fof Reg(G),Jay Kothari,Fof Ovr,137.4,2.18,Open Ended,29-12-2009,Msci Acwi Metals & Mining 30% Buffer 10/40 (1994) Net Tri,-8.78,-15.37,-6.78,-8.07,-4.1,1.03,10.41,7.67,,,, ,-14.36,-0.48,-0.79,1.14,22.27,15.81,2.76,-0.27,Mid,-3.7,High,0.05,FALSE,-0.64,1,1,0,0,0,-10.31,6.37
Edelweiss Aggressive Hybrid Fund Reg(G),Bharat Lahoti,Hy Multi,2267.4,1.96,Open Ended,11-08-2009,Crisil Hybrid 35+65 Aggressive Index,1.5,-3.6,3.88,20.63,23.43,17.23,18.05,12.46,55.21,12.22,5.53,Financials,10.23,1.37,1.97,1.87,11.49,16.19,17.09,0.1,Mega,10.53,Medium,1.5,FALSE,1.67,0,1,1,0,1,0.59,15.91
Edelweiss Arbitrage Fund Reg(G),Bhavesh Jain,Hy Arb,12199.2,1.08,Open Ended,27-06-2014,Nifty 50 Arbitrage,0.7,1.87,3.49,7.62,7.41,6.39,5.48,6.01,50.64,18.08,4.37,Financials,3.73,3.43,7.57,-0.09,1.01,11.31,6.38,0.14,Mega,7.06,Low,6.33,TRUE,5.5,0,0,0,0,1,2.02,5.96
Edelweiss Asean Equity Off Shore Fund Reg(G),Bhavesh Jain,Fof Ovr,94.6,2.35,Open Ended,01-07-2011,Msci Ac Asean 10/40 Index,-0.39,-3.69,13.77,14.52,6.25,5.75,5.18,5.3,,,, ,6.9,0.99,1.66,1.3,10.94,14.3,7.69,0.16,Small,6.18,Medium,0.53,FALSE,1.32,0,1,0,0,1,3.23,5.41
Edelweiss Balanced Advantage Fund Reg(G),Bhavesh Jain,Hy Dyn,12380.6,1.69,Open Ended,20-08-2009,Nifty 50 Hybrid Composite Debt 50 - 50 Index,-0.1,-4.45,0.73,13.36,16.39,11.55,15,10.76,50.54,13.65,7.18,Financials,4.33,0.94,1.34,1.64,9.66,16.17,12.67,0.13,Mega,7.91,Medium,1.2,FALSE,1.14,0,1,0,0,1,-1.27,12.44
Edelweiss Banking And Psu Debt Fund Reg(G),Dhawal Dalal,Dt B&Psu,271,0.7,Open Ended,13-09-2013,Crisil Banking And Psu Debt Index,0.41,1.28,4.17,8.14,7.31,5.69,6.84,7.52,,,, ,2.65,3.58,6.52,0.48,1.14,12.1,7.05,0.09,Mid,11.63,Low,4.99,TRUE,5.05,0,0,0,0,1,1.95,6.68
Edelweiss Bse Capital Markets & Insurance Etf,Bhavesh Jain,Eq Etf,,,Open Ended,30-12-2024,Bse Capital Markets & Insurance Tri,,,,,,,,,,,, ,,,,,,0.79,,,,,,,FALSE,,0,0,0,1,0,,
Edelweiss Business Cycle Fund Reg(G),Bhavesh Jain,Eq Them,1846.3,2,Open Ended,29-07-2024,Nifty 500 Tri,1.89,-7.95,,,,,,,44.78,48.45,6.12,Financials,,,,,,1.22,,,Large,,,,FALSE,,0,0,0,1,0,-3.03,
Edelweiss Crisil Ibx 50 - 50 Gilt Plus Sdl April 2037 Index Fund Reg(G),Dhawal Dalal,Dt Ld,1070.3,0.46,Open Ended,11-10-2022,Crisil Ibx 50 - 50 Gilt Plus Sdl Index April 2037,0.59,0.96,4.66,10.69,8.92,,,,,,, ,2.85,2.94,5.32,1.13,2.12,3.02,10.69,0.04,Large,23.24,Low,,FALSE,4.13,0,0,0,1,1,2.07,
Edelweiss Crisil Ibx 50 - 50 Gilt Plus Sdl June 2027 Index Fund Reg(G),Dhawal Dalal,Dt M&Ld,95.9,0.45,Open Ended,18-10-2022,Crisil Ibx 50 - 50 Gilt Plus Sdl Index June 2027,0.53,1.46,3.85,7.86,7.41,,,,,,, ,2.85,5.42,11.6,0.29,0.69,3,7.86,0.06,Small,17.47,Low,,TRUE,8.51,0,0,0,1,1,1.95,
Edelweiss Crisil Ibx 50 - 50 Gilt Plus Sdl Sep 2028 Index Fund Reg(G),Dhawal Dalal,Dt M&Ld,156.7,0.45,Open Ended,10-11-2022,Crisil Ibx 50 - 50 Gilt Plus Sdl Index Sep 2028,0.46,1.35,4.12,8.13,7.76,,,,,,, ,2.65,3.93,8.3,0.44,1.01,2.93,8.13,0.06,Mid,18.07,Low,,TRUE,6.12,0,0,0,1,1,1.98,
Edelweiss Crisil Ibx 50 - 50 Gilt Plus Sdl Short Duration Index Fund Reg(G),Rahul Dedhia,Dt Sd,152.8,0.63,Open Ended,15-02-2023,Crisil Ibx 50 - 50 Gilt Plus Sdl Short Duration Index,0.51,1.35,3.86,7.75,,,,,,,, ,2.67,5.18,11.3,0.31,0.7,2.67,7.75,0.08,Mid,12.3,Low,,TRUE,8.24,0,0,0,1,1,1.91,
Edelweiss Crisil Ibx Aaa Financial Services Bond Jan 2028 Index Fund Reg(G),Dhawal Dalal,Dt M&Ld,132.4,0.35,Open Ended,27-11-2024,Crisil Ibx Aaa Financial Services Index Jan 2028,0.6,,,,,,,,,,, ,,,,,,0.88,,,Mid,,,,FALSE,,0,0,0,1,0,0.6,
Edelweiss Crisil Psu Plus Sdl 50 - 50 Oct 2025 Index Fund Reg(G),Dhawal Dalal,Dt Md,803.7,0.4,Open Ended,10-03-2022,Crisil Ibx 50 - 50 Psu + Sdl Index October 2025,0.57,1.61,3.54,7.37,7.1,,,,,,, ,3.05,8.25,18.65,0.08,0.4,3.61,7.37,0.05,Large,18.42,Low,,TRUE,13.45,0,0,0,1,1,1.91,
Edelweiss Elss Tax Saver Fund Reg(G),Ashwani Agarwalla,Eq Elss,397.7,2.34,Open Ended,30-12-2008,Nifty 500 Tri,-0.51,-5.56,0.6,20.52,24.17,15.62,17.8,12.52,65.59,17.62,13.96,Financials,10.91,1.06,1.55,1,15.06,16.81,16.61,0.11,Mid,8.77,High,1.04,FALSE,1.31,0,1,1,0,1,-1.82,15.31
Edelweiss Emerging Markets Opp Eq. Offshore Fund Reg(G),Bhavesh Jain,Fof Ovr,114.5,2.33,Open Ended,07-07-2014,Msci Emerging Market Index,2.15,-5.55,-2.3,5.92,5.69,-2.42,1.24,4.2,,,, ,-0.96,0.2,0.33,1.22,14.63,11.28,2.24,0.39,Mid,2.54,Medium,-0.17,FALSE,0.26,0,1,0,0,0,-1.9,1.01
Edelweiss Equity Savings Fund Reg(G),Bharat Lahoti,Hy Eq,560.9,1.59,Open Ended,13-10-2014,Nifty 50 Equity Savings Index,1.67,0.64,4.68,13.52,13.35,9.96,10.84,8.92,44.43,15.89,6.88,Financials,6.88,2.37,3.68,0.7,3.78,11.02,10.81,0.12,Large,8.5,Low,2.63,TRUE,3.03,0,0,0,0,1,2.33,9.91
Edelweiss Europe Dynamic Equity Off Shore Fund Reg(G),Bhavesh Jain,Fof Ovr,74.4,2.33,Open Ended,07-02-2014,Msci Europe Index (Total Return Net),-1.92,-8.15,-1.98,5.37,11.14,5.1,9.03,6.61,,,, ,-2.04,0.17,0.25,1.37,13.66,11.7,6.53,0.43,Small,2.3,Medium,0.37,FALSE,0.21,0,1,0,0,0,-4.02,6.91
Edelweiss Flexi Cap Fund Reg(G),Trideep Bhattacharya,Eq Flex,2445.9,1.95,Open Ended,03-02-2015,Nifty 500 Tri,-0.48,-5.76,1.36,25.89,28.28,18.47,20.49,,69.99,18.96,9.52,Financials,15.35,1.3,1.9,1.03,15.86,10.71,21.62,0.08,Mega,13.28,High,1.16,FALSE,1.6,0,1,1,0,1,-1.63,19.48
Edelweiss Focused Fund Reg(G),Trideep Bhattacharya,Eq Flex,916.9,2.22,Open Ended,01-08-2022,Nifty 500 Tri,0.27,-4.49,1.51,23.48,27.21,,,,73.86,19.75,3.74,Financials,13.23,1.19,1.79,1.01,15.46,3.21,23.48,0.09,Large,10.58,High,,FALSE,1.49,0,1,1,1,1,-0.9,
Edelweiss Gold And Silver Etf Fof Reg(G),Bhavesh Jain,Fof Dom,187.3,0.71,Open Ended,14-09-2022,Gold India,-1.91,-1.66,1.95,17.33,13.7,,,,,,, ,16.2,0.71,1.19,-0.77,19.49,3.09,17.33,0.04,Mid,24.41,High,,TRUE,0.95,0,1,1,1,1,-0.54,
